Species,Species.abbr,Age.Ma.avg,Species.Name,Species name adjusted to 10kTrees,Species name in Perelman tree ,Subfamily,Family,ExtantOrFossil,EncephalizationGroup,logECV,logBodyMass,ECV,N ECV,Sex ECV,Source ECV,BodyMass,N Body mass,Sex Body mass,Source Body mass,Original source Body mass
Nomascus leucogenys,,,Nomascus_leucogenys,Nomascus_leucogenys,Nomascus_leucogenys,,Hylobatidae,Extant,Ancestral,2.086241155,3.814247596,121.9666667,6,all individuals,van Woerden compilation,6520,10,all individuals,Deputte 1981 in ATWP 2011,
Nycticebus bengalensis,,,Nycticebus_bengalensis,Nycticebus_bengalensis,Nycticebus_bengalensis,,Loridae,Extant,Ancestral,1.109652019,3.096236334,12.87217746,17,all individuals,van Woerden compilation,1248.0625,15,all individuals,ATWP 2012 diverse,
Nycticebus coucang,,,Nycticebus_coucang,Nycticebus_coucang,Nycticebus_coucang,,Loridae,Extant,Ancestral,0.998877699,2.814580516,9.974191433,46,all individuals,van Woerden compilation,652.5,100,all individuals,Isler et al. 2008,
Nycticebus javanicus,,,Nycticebus_javanicus,,,,Loridae,Extant,Ancestral,1.016193978,2.817208268,10.37991932,25,all individuals,van Woerden compilation,656.46,7,all individuals,Nekaris and Jaffe 2007 in ATWP 2012,
Nycticebus pygmaeus,,,Nycticebus_pygmaeus,Nycticebus_pygmaeus,Nycticebus_pygmaeus,,Loridae,Extant,Ancestral,0.859078936,2.62324929,7.229011833,6,all individuals,van Woerden compilation,420,167,all individuals,Nekaris & Bearder 2007,
Otolemur crassicaudatus,,,Otolemur_crassicaudatus,Otolemur_crassicaudatus,Otolemur_crassicaudatus,,Galagidae,Extant,Ancestral,1.070110175,3.06069784,11.75195649,42,all individuals,van Woerden compilation,1150,101,all individuals,Isler et al. 2008,Skinner & Smithers 1990 in Smith and Junger s1997
Otolemur garnettii,,,Otolemur_garnettii,Otolemur_garnettii,Otolemur_garnettii,,Galagidae,Extant,Ancestral,1.032067584,3.074816441,10.76632745,39,all individuals,van Woerden compilation,1188,7,all individuals,van Woerden compilation (matching),matching ECV
Pan paniscus,,,Pan_paniscus,Pan_paniscus,Pan_paniscus,,Panidae,Extant,Ancestral,2.51355052,4.521138084,326.25,4,fem,Isler et al. 2008,33200,6,fem,MyersThompson 1997 in ATWP 2012,
Pan troglodytes,,,Pan_troglodytes,Pan_troglodytes_troglodytes,Pan_troglodytes,,Panidae,Extant,Ancestral,2.553534371,4.606022888,357.7127096,80,fem,van Woerden compilation,40366.66667,33,fem,Isler et al. 2008,Smith&Jungers 1997
Papio anubis,,,Papio_anubis,Papio_anubis,Papio_anubis,Cercopithecinae,Cercopithecidae,Extant,Ancestral,2.193281702,4.086359831,156.0564423,28,fem,van Woerden compilation,12200,237,fem,Berger 1972 Kenya,
