Species,Species.abbr,Age.Ma.avg,Species.Name,Species name adjusted to 10kTrees,Species name in Perelman tree ,Subfamily,Family,ExtantOrFossil,EncephalizationGroup,logECV,logBodyMass,ECV,N ECV,Sex ECV,Source ECV,BodyMass,N Body mass,Sex Body mass,Source Body mass,Original source Body mass
Symphalangus syndactylus,,,Symphalangus_syndactylus,Symphalangus_syndactylus,Symphalangus_syndactylus,,Hylobatidae,Extant,Ancestral,2.095211054,4.052886235,124.5119555,64,all individuals,Isler et al. 2008,11295,17,all individuals,Isler et al. 2008,Smith&Jungers 1997
Tarsius bancanus,,,Tarsius_bancanus,Tarsius_bancanus,Tarsius_bancanus,,Tarsiidae,Extant,Ancestral,0.497998104,2.044254603,3.147734573,30,all individuals,van Woerden compilation,110.7272727,11,all individuals,van Woerden compilation (matching),matching ECV
Tarsius dentatus,,,Tarsius_dentatus,Tarsius_dentatus,Tarsius_dentatus,,Tarsiidae,Extant,Ancestral,0.47646164,,2.995447,2,all individuals,van Woerden compilation,,,,,
Tarsius lariang,,,Tarsius_lariang,,,,Tarsiidae,Extant,Ancestral,,,,,,,,,,,
Tarsius syrichta,,,Tarsius_syrichta,Tarsius_syrichta,Tarsius_syrichta,,Tarsiidae,Extant,Ancestral,0.529282664,2.11058971,3.3828494,10,all individuals,van Woerden compilation,129,14,all individuals,Gursky 07,Neri-Arboleda 2001 and Dagosto et al. 2001
Tarsius tarsier,,,Tarsius_tarsier,Tarsius_tarsier,Tarsius_tarsier,,Tarsiidae,Extant,Ancestral,0.512489766,2.066325925,3.254541143,7,all individuals,van Woerden compilation,116.5,39,all individuals,Isler et al. 2008,"Nietsch&Niemitz 1992, Gursky, pc in Smith and Jungers 1997"
Theropithecus gelada,,,Theropithecus_gelada,Theropithecus_gelada,Theropithecus_gelada,Cercopithecinae,Cercopithecidae,Extant,Ancestral,2.090693364,4.151413632,123.22345,18,fem,van Woerden compilation,14171.42857,7,fem,van Woerden compilation (matching),matching ECV
Trachypithecus auratus,,,Trachypithecus_auratus,Trachypithecus_auratus,Trachypithecus_auratus,Colobinae,Cercopithecidae,Extant,Ancestral,1.796530971,3.851258349,62.59375,16,fem,van Woerden compilation,7100,,fem,Kool 1992 in ATWP 2011,
Trachypithecus barbei,,,Trachypithecus_barbei,Trachypithecus_barbei,Trachypithecus_barbei,Colobinae,Cercopithecidae,Extant,Ancestral,,,,,,,,,,,
Trachypithecus cristatus,,,Trachypithecus_cristatus,Trachypithecus_cristatus,Trachypithecus_cristatus,Colobinae,Cercopithecidae,Extant,Ancestral,1.7664272,3.782449332,58.40193007,50,fem,van Woerden compilation,6059.675,16,fem,van Woerden compilation (matching),matching ECV
Trachypithecus francoisi,,,Trachypithecus_francoisi,Trachypithecus_francoisi,Trachypithecus_francoisi,Colobinae,Cercopithecidae,Extant,Ancestral,1.908485019,,81,1,fem,van Woerden compilation,,,,,
Trachypithecus geei,,,Trachypithecus_geei,Trachypithecus_geei,Trachypithecus_geei,Colobinae,Cercopithecidae,Extant,Ancestral,1.910090546,3.977723605,81.3,,brain: m/f mean (no dim data); body: female,Isler et al. 2008,9500,1,fem,Isler et al. 2008,Willis 1995 in Smith and Jungers 1997
Trachypithecus johnii,,,Trachypithecus_johnii,Trachypithecus_johnii,Trachypithecus_johnii,Colobinae,Cercopithecidae,Extant,Ancestral,1.892094603,4.049218023,78,3,fem,van Woerden compilation,11200,3,fem,Isler et al. 2008,Willis 1995 in Smith and Jungers 1997
Trachypithecus obscurus,,,Trachypithecus_obscurus,Trachypithecus_obscurus,Trachypithecus_obscurus,Colobinae,Cercopithecidae,Extant,Ancestral,1.773076955,3.830253535,59.30303977,31,fem,van Woerden compilation,6764.777778,18,fem,van Woerden compilation (matching),matching ECV
Trachypithecus phayrei,,,Trachypithecus_phayrei,Trachypithecus_phayrei,Trachypithecus_phayrei,Colobinae,Cercopithecidae,Extant,Ancestral,1.846349807,3.856245401,70.20205207,26,fem,van Woerden compilation,7182,3,fem,van Woerden compilation (matching),matching ECV
Trachypithecus pileatus,,,Trachypithecus_pileatus,Trachypithecus_pileatus,Trachypithecus_pileatus,Colobinae,Cercopithecidae,Extant,Ancestral,1.988361047,3.993876915,97.35562454,11,fem,van Woerden compilation,9860,5,fem,Smith&Jungers 1997,Willis 1995
Trachypithecus poliocephalus,,,Trachypithecus_poliocephalus,Trachypithecus_poliocephalus,Trachypithecus_poliocephalus,Colobinae,Cercopithecidae,Extant,Ancestral,,3.893206753,,,,,7820,6,fem,Huang 2005 in ATWP 2012,
Trachypithecus vetulus,,,Trachypithecus_vetulus,Trachypithecus_vetulus,Trachypithecus_vetulus,Colobinae,Cercopithecidae,Extant,Ancestral,1.777519161,3.754654069,59.91273709,7,fem,van Woerden compilation,5684,9,fem,Hill 1934 in ATWP 2012,
Varecia rubra,,,Varecia_rubra,Varecia_rubra,Varecia_rubra,,Lemuridae,Extant,Ancestral,1.474437348,3.54740546,29.815174,10,all individuals,van Woerden compilation,3527,3,all individuals,Vasey 2003,
Varecia variegata,,,Varecia_variegata,Varecia_variegata_variegata,Varecia_variegata,,Lemuridae,Extant,Ancestral,1.484047421,3.553276046,30.48227813,28,all individuals,van Woerden compilation,3575,18,all individuals,Isler et al. 2008,
Ardipithecus ramidus,Ar. ramidus,4.4,,,,,Hominidae,Fossil,Ancestral,,,325,,,,41450,,,,
Australopithecus afarensis,Au. afarensis,3.09,,,,,Hominidae,Fossil,Derived,,,445.8,,,,39100,,,,
Australopithecus africanus,Au. africanus,2.8,,,,,Hominidae,Fossil,Derived,,,462.33,,,,30500,,,,
Australopithecus anamensis,Au. anamensis,4.05,,,,,Hominidae,Fossil,Ancestral,,,367.5,,,,46300,,,,
Australopithecus boisei,Au. boisei,1.65,,,,,Hominidae,Fossil,Derived,,,515,,,,35300,,,,
Australopithecus aethiopicus,Au. aethiopicus,2.09,,,,,Hominidae,Fossil,Derived,,,431.75,,,,31000,,,,
Australopithecus garhi,Au. garhi,2.5,,,,,Hominidae,Fossil,Derived,,,450,,,,NA,,,,
Australopithecus robustus,Au. robustus,1.5,,,,,Hominidae,Fossil,Derived,,,493.33,,,,30100,,,,
Australopithecus sediba,Au. sediba,1.98,,,,,Hominidae,Fossil,Derived,,,420,,,,25800,,,,
Homo erectus,H. erectus,0.81,,,,,Hominidae,Fossil,Derived,,,941.44,,,,51000,,,,
Homo ergaster,H. ergaster,1.74,,,,,Hominidae,Fossil,Derived,,,850,,,,59200,,,,
Homo floresiensis,H. floresiensis,0.08,,,,,Hominidae,Fossil,Derived,,,426,,,,27500,,,,
Homo habilis,H. habilis,1.76,,,,,Hominidae,Fossil,Derived,,,551.5,,,,32600,,,,
Homo heidelbergensis,H. heidelbergensis,0.27,,,,,Hominidae,Fossil,Derived,,,1265.75,,,,70600,,,,
Homo naledi,H. naledi,0.288,,,,,Hominidae,Fossil,Derived,,,513,,,,37400,,,,
Homo neanderthalensis,H. neanderthalensis,0.08,,,,,Hominidae,Fossil,Derived,,,1487.5,,,,72100,,,,
Homo rudolfensis,H. rudolfensis,1.87,,,,,Hominidae,Fossil,Derived,,,788.5,,,,45597,,,,
Homo sapiens,H. sapiens,0.001,,,,,Hominidae,Extant,Derived,,,1349,,,,57800,,,,
Homo sapiens (fossil),H. sapiens (fossil),0.01,,,,,Hominidae,Fossil,Derived,,,1330,,,,63500,,,,
